,commentor,comment
172,Swapnil Chavan,"Sir Mujhe aap ki Tarah teaching ka data engineer course, koi hoga toh suggest kar doo sir."
173,Ganesh Kamble,"Please answer 
mera 12 th commerce hue 8 saal ka gap hain aur ab maine ignou mein bca ke liye admission liya hai kya isse mujhe future mein job ke liye problem hogi kya ?"
174,Rama Shankar Prajapati,"Sir...
Python ki help se  winnar password recovery  kiya ja sakta h..."
175,Swapnil Chavan,Sir aap ka teaching style Bohot different Itna basic koi nahi pada payega. Yeah situations agar students kah de ki other teachers ko toh bolege Itna basic nahi Ata tujhe.
176,Swapnil Chavan,Fir interview Itna basic questions asking to this student he can't answered those questions. Fir this student said mere nahi Ho payega he give Up.
177,mohd danish,Sir python ki next video nhi ayegi.
178,LEARN PROGRAMMING,Sir ek maine c language ka batch join kiya tha batch code RD uska recording video nhi chal rha h pura Black aa rha hai koi video nhi chal rha hai sir please help me sir 23 APRIL BATCH CODE RD C LANGUAGE 
179,Sudhanshu Ranjan,Sir c++ v krvate
180,Samadhan Dudhal,Upload video ad early as possible
181,Vikas Gupta,Sir  tin bar me fee jama nhi kar shate hai
182,Vikas Gupta,Python ki aaj se start ho rhi
183,Nidhi Sahu,Sir waiting for stage 2
184,SocialGuru,"Please make a dsa using python, i request you sir because there's not much content on DSA using python on YouTube"
185,manish khaderiya,"Hello sir , I had completed my graduation  7 years in BCA stream . But now I want to join IT field from back. What should i do..?"
186,Nidhi Sahu,Sir aapke lecture se hi main coding shikhi h thankyou very much
187,Shivam 07,Sir please cpp ka v series start kriye
188,Toufik Shaikh,Great
189,Vivek Ranjan,"I am currently student of BCA but I want to do nimcet because my 10th ,12th less than 60% marks  can I face problem in placement time ? can I apply for all company  or  not ??PLZ reply me "
190,manish khaderiya,Please sir let me know..
191,Bhupendra Singh Arora,Did anyone buy bootcamp course
192,Sandip Kamble,Sir java ka Full stack web development ka class kb aane vala he...??
193,raman kumar,Sir aaj ka class bahut acha lga. Thanks Sir
194,Rupii Gaurav Chauhan,Best Teacher
195,Monika Kumari,Sir java web development ka bhi lao
196,Shivam Yadav,File handling in python  ka topic bhi uplode kijiye sir.
197,MD ALAM,Thanks Sir
198,rajesh rajesh,Sir agar IT carrier banana he to hamare bachho ko 9th 10th se kuch karvana chahiye ? Kab se ? Kya ? In k uper ek video banao pls bahot help hogi for all
199,Saurabh shukla,"Me to her : I LOVE YOU
SHE: MORE THAN HIM
ME :KNOW YOUR LIMITS"
200,Maneesh Kumar,Sir maine kabhi language nhi seekhi Btech 2014 main ki thi....ab language seekhni hain...python kiya sir samajh aa jaegii
201,Aakash Kumar Jaiswal,"Hello I purchased python core course 
I do enquiry for reset my test 
Till 2 days over no response it 
Please help me sir as soon as possible"
202,veerrajput,Good sir 
203,Neelesh Gupta,dhanyabaaad sir
204,Amresh MCA,sir kya c c++ bina sheekhe full stack web development with django wala batch join kar sakte h
