,commentor,comment
324,ACOUSTIC JAADU,"Sir me job ke sath apka bootcamp couse kr raha hu ,meri profile java ki he, mera maan python fullstack join krne ka bhi kr raha he me confuse hu kya krna chahiye java me ya python me aage jaau, ya pahale ye bootcamp complete karu , mujhe jo bhi pardna he aage apse hi pardna he aagr ap java fullstack lane wale hoto wo bhi ap bata dijiye ,"
325,Neelesh Gupta,maza aagaya
326,Anjali Soni,Sir please listen to me hum assignment and notes vali link me enrolled nhi ho pa rahe please enrolled me sir hum questions solve bhi nhi kr pa rahe
327,Harshit Barnwal,"SIR AAP SANDEEP SIR CHANNEL PE AATE TO HM SB STUDENTS KO BAHOT ACHHA LGTA ..

please sir"
328,Chaturnathalingam,Sir mujhe aapka bootcamp ka course purchase karna hai please tell last date to get admission because I have not enough money .i will manage it in four to five days please
329,Neeraj Kohli,Sir ji mein age kya karu aap kuch bata do
330,Supriya Bharti,Sir mai job ready boot camp join ki hu usme sirf vedio dekhai deta hai  kuch v sunai nhi deta hai
331,Er. Gourav Sharma,सर अब आप ये सब पढाना बंद कर दिजिऐ क्योकि व्यू कम आ रहे हैं ऐसा मुझे लगा हो सकता हो मै गलत हूँ। मै नया आज हि आया हूँ। आप सामाजिक जाग्रती का काम किजिऐ। आप अपने ज्ञान का उपयोग करते हुऐ राजनैतिक और व्यंगात्मक पोस्ट बनाइये। सप्ताह में एक दिन भी विडियो डालेंगे तो अच्छा रहेगा। और उसे आप प्रमोट करें। और आप unachedemy teacher बन जाइये तो शिक्षा देने के काम के साथ उन्नति भी पढेगी। ऐसा मुझे लगा सर। बाकी आप स्वयं सक्षम है। प्रणाम सर। ️️️🇮🇳🇮🇳
332,Stock Market,"thanks a lot sir, you are really a great educator."
333,Alka Singh,Thank you so much sir for your incredible afford ️
334,Er. Anjani Kumar,"Hello Sir , 
Please provide the notes of C language Community classes from day 1 as I am not getting them on ineuron website only day 14 notes is available there which is of Functions .
Thank you so much in advance "
335,NOT MR ABHI,Sir is there any course for intermediate students in programming in C++
336,D. P. Vachhani,You are really Great MySirG
337,Shahab Siddiqui,"strlen() function, length+1 output de rha hai... Bahut baar try Kara maine
Example: input mein ""shahab"" le rha hu fgets se, toh strlen() 7 output de rha h... Need explanation."
338,Lakhan Solanki,Thanks my sir g 
339,Neelesh Gupta,MAZA AA GAYA SIR
340,Prakash Kumar,sir java or dsa ka online class kab start hoga
341,PMLN pmln,sir g ye programming language seqny ka sequence bata do plz 
342,PMLN pmln,Sir plz ️ programing language seqny ka sequence bata do plz
343,World Entertainment,41:00
344,Awinash Kumar,"Mere ps mera School time wala 2nd Gen Core i5 Laptop hai. (8GB RAM 240GB SSD)
Esse Mera MCA ho jayega ya mujhe MCA k liye new 12th Generation le lena chahiye???"
345,Mritunjay Kumar,"Sir we can also use scanf(""%[^\n]%*c"",str); for taking input multiwords strings"
346,Neelesh Gupta,GN
347,Er. Anjani Kumar,"Hello Sir , 
Please provide the notes of C language Community classes from day 1 as I am not getting them on ineuron website only day 14 notes is available there which is of Functions .
Thank you so much in advance "
348,D. P. Vachhani,I am very thankful to you (My SirG) for this your noble work.
349,ARUN NISHAD,Sir aapka teaching c language ke liye utube pe sabse best hai
350,learn with JD,sir thank u so much mujhe kabhi itna acche se clear nahi hua tha 2d array .......lakin mai aaj bahut haad tak samajh gaya thanks again sir
351,Gourav Chalotra,Sir mara bhot man tha ap ka course lana ka but due to my collage exam I missed this opportunity can i buy the course after my exam and I am very excited to tell you that I completed your logic building playlist I learn so much things and on yt i think you are the best of the best teacher really.... And sir I have a aim to get place in Google and I think i will get with the help of your video and guidelines........️ NEVER GIVE UP
352,Pradeep,Sir ek request hai ki c language ka video banao pura basic to advance .....yeh already aapne banayi hai lekin ushmein aapne jo code kiya woh Visual studio mein nhi hai .......... please sir ek aur video bana dijiye
353,Imran Khan,"Sir isi trh se cpp ka bi course kra
do"
354,Neelesh Gupta,maza aa gaya
355,#Kanhaiya_sahu,Sir c language paid batch aayega kya
356,World Entertainment,1:00:00
357,Alka Singh,How to join your Paid classes??
358,Anurag Kumar,Sir what about python and  core java
359,Vegada Dipak,Sir me ek arts ka students hu per muje computers ka knowledge kam hai kya me mca kar sakta hu ?
360,Ajeet Dev,Recursion me phir se confusion ho rha h aur program nhi bn rha h
361,Anjali Soni,Sir please help me hum link me enrolled nhi ho pa rahe h
362,Rohit Jana,"1:05:28 
int main()
{
    int k;
    k=fun(5);
    printf(""%d"",k);
}
int fun(int n)
{
    int facto;
    if(n==1)
        return 1;
    facto=n*fun(n-1);
    return facto;
}
c recursion"
363,Manish Kumar Yadav,Learning Simplified 
364,SoNu YaDaV,"To easy learning recursion sir 
Thank you sir."
365,Suhas Kamble,"Sir please make video on Dependency Injection
No channel is able to explain it properly"
366,A2 के दीवाने (fan page),thank you so much for this video
367,Sumit Sharma,Sir really u are genius
368,learn with JD,thank you so much sir
369,Lakhan Solanki,Tq sir bhut acche se samaj aaya
370,#Kanhaiya_sahu,"Sir c language paid course bhi aayega kya 
Plz reply"
371,Gokul Joshi,coding in desi desh ki bhasha. dhanyawad sir.
372,codingiso,Please sir  how to find assessment c language
373,codingiso,how to find c language assessment
374,Asha Das,thanks  sir
375,SuRaj Narale,Thanks sir
376,Result Index,great
377,ANKUR MISHRA,"Video isn't complete without ""Gadhe Ho"" "
378,Samar Kumar,Awsmm sir 
379,this-ankita,Sir mujhe c++ ka class chahiye khridna h
380,Saurabh Gupta,Sir pointer kb ayega
381,Md Gulam sarwar,
382,hosting vosting,Love you sir
383,Mohammad Sadiq,I want to know please someone can tell me
384,codingiso,Hlw sir
385,Neelesh Gupta,maza aa gaya
386,Swarup kumar Bhunia,Some of n number
387,Anjali Soni,solving questions bhi dijiye na sir for practice
388,Neelesh Gupta,gn
389,Mohammad Sadiq,Si how to join  your bootcamp course
390,Shiva Jadiya,"write a program to make the last digit of a number stored in a variable as zero
Like (1234) then output is (1230) 

Plzz give me solve to these question anyone"
391,Gokul Joshi,Sir I was struck by the TSRN function and you cleared my doubt so easily. Thanks for the wonderful videos sir.
392,ARVIND YADAV,"Wow amazing  Awesome function class, i think all students must watch this video, it's a absolutely for beginners. Thank you sir ️️️"
393,Varsani Ranjani,You are such a good teacher
394,Vijay Singh Rathore,"Thanks for such a deep knowledge free of cost...
Thanks"
395,Kshitij Gupta,Thankyou sir for your free lectures
396,Rakesh Aheer,"Hello sir... Its humble request for you to make a complete DSA course saperately either paid or community class. Paid is better i think.
I have subscribed your job ready boot camp."
397,jivan,सर क्या python भी सीख सकते हैं इस c language community class के साथ साथ में ?? ️
398,Code Learner,Thank you sir ️
399,Sattu Bhai,Guruji aap bahut achha smjhate hain  Sadar pranam ji 
400,Amrita Kumari,Thanku so much sir
401,D. P. Vachhani,Thanks My sirG
402,Imran Khan,"Sir i m shering your videos to my frnd, 
Bcz it unbelievable for and frnd also "
403,Chintan Patel,Gajab explain
404,Shivam Maurya,Thanks u so much sir
405,Chavda Nayan,"I want to make one device, in front of which people can check the fitting of their clothes by standing, will you make a video giving information about it?"
406,vivek Singh,sir agr main function user defined function hai to phir kya hum main function ka name bhi change kr skte hai
407,Nonstop CODING : CODE WITH ADITYA,Python basic to advance plz
408,Prakash Singh,Sir assignment 14 ka Question 7 smjh nhi aa raha hai
409,Neelesh Gupta,maza aa gaya
410,learn with JD,sir kya ap isme koi project bhi karvayenge?
411,Weirdo Mind learning,"sir jaise hr week k bad aap hm students ko prize provide krte , usi tarah i request ki aap hr week k end me ek game bhi bnavaye taki usse hme thoda interest bhi aur jada bdhega that would be whtaever simple or tough realted jo aap ek week me pdha chuke hai, maine game k liye isliye request ki kyuki mostly students game ko like krte hai , aur jis cheez me hmara interest jada ho hm us pr focus bhi jada krte hai, is game k proect se jo  interest nhi aa rha vo bhi interest lenge , kyuki unhe khud ki koi cheez se realted knowlg milne vala hai, i know ki aap is complete series k bad ek project krwayenge , pr week k end me chhoda sa koi game project bhi bnvaye taki ,beginner ka aur jada interest bhde.......thanku sir"
412,______Ꮇя विशाल ________༒͢  ࿐,Waiting for java batch 
413,Ankur swami,Sir Aaj Day-5 ke baad Day-14 kyu please reply
414,Prakash Singh,Sir c++ ka community classes kra dijiye
415,Shivangi Singh,"printf, scanf, getch, clrscr, exit puts,get"
416,VIVEK,Sir java language shikhayie
417,Amarjeet Kumar,Hello sir
418,white devil,Mere pyare  gadho 
419,md shahzad,dear sir mai apko mail kya tha plz ap mail check kijye
420,Shivangi Singh,conio.h me
421,Rohit Negi,Thank you so much sir for everything you have done for me and Mysirg family️
422,Aviral Mishra,Each and every question which is ask by MysirG to Rohit is ours . This is called a Teacher who all know about his students thinking .Charan Sparsh MysirG 
423,Shivam Kumar,"Dear Sir,you are the best ,I am currently studying in IIT Kharagpur and now I am learning coding from your YouTube channel,your teaching style is impressive"
424,coding school,"You are always my one of the greatest mentor of the world , Always believe in your teaching and love your method"
425,TK Codes,"I am following MysirG since 2018, I can say MysirG was started to teach not just to earn money like today's kids fighting each other on YouTube and distracting students. Still MysirG is what I recommend newbies even if they complain about video quality at starting but after insisting some time they also start loving it  MysirG"
426,Pandey Rohit,It is really inspiring sir the way you are helping out people in achieving their goals and motivating them.
427,abrar khankhan,"feeling so motivated by watching this video , thank you sir for teaching us and as well as motivating us ,,,,  now sir hum bhi itni mehnat karenge or apke samne bhetkar apko thank you bolenge "
428,Atul Shinde,Its a very inspiring video for me and   teach consistency is importance in study. Thank you sir.
429,Ankur Singer,Sir you are the greatest.........while watching this video....dreaming that one day i will sitting infront of you.....you take my interview.....wow....sir you did a great job....and maa wala example.....rohit sir ka boht heart touching tha....so inspirational...
430,Asif Nit Trichy,You are Unique teacher... Your explaination is most easiest way in everytime...
431,Pankaj Kumar,I am following my sir from past 6 year...with his c videos i have worked in three automotive product based MNC.....Thank you sir for ur support ️
432,A B,Thanks a lot  to both of you sir for sharing your knowledge and experience.
433,Sayantani Guha,"Finally a person we can relate to !
Thankyou so much!!"
434,Vivek mesuriya,Very motivational video for programmer and who want to crack a top compnies
435,kumkum singh,"C c++ 
DSA 
Project
Puzzle
DSA 70%
Project with full details 20%"
436,pankaj navale,I feel so motivated after after learning from you.
437,Mr. Ravi Creation,"Thank you soo much sir, for making this podcast."
438,Mohd Junaid,Awesome sirg  this interview provide best motivation for every student and your chennal is really helpfull for. Beginner
439,Aakash Rawat,"This video is very motivational 
all students and thank you so much sir for this video
love u sir "
440,horizones e.,"thank you so much sir for making this video. I'm in first year. Extremely liked this step of my sirji.

Thank you sir"
441,Ankur Singer,Thank you sir....for high definition quality of video
442,rajshankar (love to teach physics  (IIT JEE NEET),Thank you sir for motivation and beat teachings style 
443,MS444 FF,Sir you asked most important questions Thanks ...
444,Idiosyncratic @jojo,"Such a valuable , motivational and touchable vdo .
Mysirg is the best one .."
445,Ranit Naha VdaiwCwLHq,Same thing is happening with me .... After some year I will sit with sir and we will have a one to one conversation 
446,Yaseen Official,I am also feel that saurabh sir ji just like mom for us  because I have also started after seen your lecture.
